mes,ticker,setor,nome,status_liquidez
2012-01,ITUB4.SA,Bancos,Itaú Unibanco PN,Ativo
2012-01,BBDC4.SA,Bancos,Bradesco PN,Ativo
2012-01,BBAS3.SA,Bancos,Banco do Brasil ON,Ativo
2012-01,SANB11.SA,Bancos,Santander Brasil Unit,Ativo
2012-01,BPAC11.SA,Bancos,BTG Pactual Unit,Pre-IPO
2012-01,ABCB4.SA,Bancos,Banco ABC Brasil PN,Ativo
2012-01,BRSR6.SA,Bancos,Banrisul PN,Ativo
2012-01,ITSA4.SA,Bancos,Itaúsa PN,Ativo
2012-01,TAEE11.SA,Energia,Taesa Unit,Ativo
2012-01,TRPL4.SA,Energia,ISA CTEEP PN,Ativo
2012-01,EGIE3.SA,Energia,Engie Brasil ON,Ativo
2012-01,CPLE6.SA,Energia,Copel PNB,Ativo
2012-01,ELET3.SA,Energia,Eletrobras ON,Ativo
2012-01,ELET6.SA,Energia,Eletrobras PNB,Ativo
2012-01,EQTL3.SA,Energia,Equatorial Energia ON,Ativo
2012-01,CMIG4.SA,Energia,Cemig PN,Ativo
2012-01,CPFE3.SA,Energia,CPFL Energia ON,Ativo
2012-01,ALUP11.SA,Energia,Alupar Unit,Pre-IPO
2012-01,ENGI11.SA,Energia,Energisa Unit,Ativo
2012-01,ENBR3.SA,Energia,EDP Brasil ON (Deslistada),Ativo
2012-01,AESB3.SA,Energia,AES Brasil ON (Incorporada),Pre-IPO
2012-01,AURE3.SA,Energia,Auren Energia ON,Pre-IPO
2012-01,BBSE3.SA,Seguros,BB Seguridade ON,Pre-IPO
2012-01,PSSA3.SA,Seguros,Porto Seguro ON,Ativo
2012-01,CXSE3.SA,Seguros,Caixa Seguridade ON,Pre-IPO
2012-01,WIZC3.SA,Seguros,Wiz Soluções ON,Pre-IPO
2012-01,SULA11.SA,Seguros,SulAmérica Unit (Incorporada),Ativo
2012-01,SBSP3.SA,Saneamento,Sabesp ON,Ativo
2012-01,SAPR11.SA,Saneamento,Sanepar Unit,Pre-IPO
2012-01,SAPR4.SA,Saneamento,Sanepar PN,Ativo
